group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
1,DNAL1,-0.100223064,,0.9201672325855041,0.9472885396535059,1.0,1.0
1,ZNF215,-0.10494708,0.6603469,0.9164178015428479,0.9440022838635357,1.0,1.0
1,KIF20B,-0.105942994,,0.9156275809410656,0.9434751351059397,1.0,1.0
1,AL450332.1,-0.10687359,0.24321924,0.914889268324128,0.9430067914350369,1.0,1.0
1,C12orf60,-0.10908202,2.7567549,0.9131374347811255,0.9421509610874449,1.0,1.0
1,AC099518.5,-0.111395895,2.124178,0.9113024169514526,0.9410218191501133,1.0,1.0
1,PCAT6,-0.11271958,1.1041425,0.910252878815798,0.9402246199475377,1.0,1.0
1,ROBO2,-0.114513144,0.73212785,0.908831027528895,0.9390422449734359,1.0,1.0
1,AC005523.2,-0.116537064,0.742513,0.9072269123700788,0.9379569054347962,1.0,1.0
1,PTPRG-AS1,-0.11955576,0.97811747,0.9048350695000911,0.9360553329668118,1.0,1.0
1,AC012645.1,-0.123749144,0.76823986,0.9015138969528985,0.9338136119365928,1.0,1.0
1,AL109628.2,-0.12557824,0.7121645,0.9000657884323272,0.9328304959341465,1.0,1.0
1,AL035458.2,-0.12650768,0.6566072,0.8993300659414222,0.9326385869022156,1.0,1.0
1,AC016705.2,-0.12721366,0.6807221,0.8987713012039902,0.932344509638432,1.0,1.0
1,BBS10,-0.12803422,0.98081297,0.8981218909837229,0.9319561919304298,1.0,1.0
1,GRIK2,-0.12993667,0.80949587,0.8966165382809418,0.9306791763773992,1.0,1.0
1,ZNF2,-0.13288544,1.7023543,0.8942839788390693,0.9291119657487785,1.0,1.0
1,AC006333.2,-0.13954742,,0.8890175846793783,0.9244909689667691,1.0,1.0
1,HIST1H1A,-0.14039893,0.9239209,0.8883447980991133,0.9240749695915861,1.0,1.0
1,AC005837.1,-0.14419006,1.0215771,0.8853503865911168,0.9212429698312972,1.0,1.0
1,IL5,-0.1443975,0.9830821,0.8851865916847012,0.9212429698312972,1.0,1.0
